Signal_ID,Date,Signal_Type,Signal_Strength,Confidence_Score,Entry_Price,Exit_Price,Predicted_Price,Target_Price,Stop_Loss_Price,Actual_Gain_Loss_Pct,Actual_Gain_Loss_Amount,Max_Gain_During_Period,Max_Loss_During_Period,Volatility_During_Period,Prediction_Accuracy,Target_Hit,Stop_Loss_Hit,Exit_Reason,Planned_Duration_Days,Actual_Duration_Days,Annualized_Return_Pct,Risk_Reward_Ratio,Portfolio_Value_After_Trade,Predicted_Trend,Actual_Trend,Trade_Success,High_Confidence
SIG_0048,Day_47,BUY,Strong,41.3,37.68,69.26,4602.89,41.45,36.55,83.81,11232.06,83.81,0.0,83.81,Correct,Yes,No,Target_Hit,1,1,30591.03,3.33,145248.51,Bullish,Bullish,Profitable,Yes
SIG_0049,Day_48,SELL,Strong,32.45,69.26,68.03,3109.19,76.19,67.18,-1.78,0.0,0.0,-1.78,1.78,Correct,No,No,Target_Duration,1,1,-648.21,3.33,145248.51,Bearish,Bearish,Loss,Yes
SIG_0050,Day_49,BUY,Strong,3.29,68.03,37.06,3211.58,74.83,65.99,-45.52,-6612.3,0.0,-45.52,45.52,Incorrect,No,Yes,Stop_Loss,1,1,-16616.27,3.33,138636.21,Bullish,Bearish,Loss,Yes
SIG_0051,Day_50,BUY,Strong,38.11,37.06,66.23,4435.59,40.77,35.95,78.71,10912.08,78.71,0.0,78.71,Correct,Yes,No,Target_Hit,1,1,28729.22,3.33,149548.3,Bullish,Bullish,Profitable,Yes
SIG_0052,Day_51,SELL,Medium,1.32,66.23,36.1,4377.16,72.85,64.24,-45.49,0.0,0.0,-45.49,45.49,Correct,No,Yes,Stop_Loss,1,1,-16604.94,3.33,149548.3,Bearish,Bearish,Loss,No
SIG_0053,Day_52,SELL,Strong,31.55,36.1,36.05,2996.04,39.71,35.02,-0.14,0.0,0.0,-0.14,0.14,Correct,No,No,Target_Duration,1,1,-50.55,3.33,149548.3,Bearish,Bearish,Loss,Yes
SIG_0054,Day_53,BUY,Strong,39.19,36.05,66.28,4170.28,39.66,34.97,83.86,12540.49,83.86,0.0,83.86,Correct,Yes,No,Target_Hit,1,1,30607.35,3.33,162088.78,Bullish,Bullish,Profitable,Yes
SIG_0055,Day_54,SELL,Strong,32.75,66.28,67.5,2804.31,72.91,64.29,1.84,0.0,1.84,0.0,1.84,Incorrect,No,No,Target_Duration,1,1,671.85,3.33,162088.78,Bearish,Bullish,Profitable,Yes
SIG_0056,Day_55,BUY,Strong,46.98,67.5,36.0,4121.85,74.25,65.47,-46.67,-7564.14,0.0,-46.67,46.67,Incorrect,No,Yes,Stop_Loss,1,1,-17033.33,3.33,154524.64,Bullish,Bearish,Loss,Yes
SIG_0057,Day_56,SELL,Strong,32.99,36.0,35.85,2761.9,39.6,34.92,-0.42,0.0,0.0,-0.42,0.42,Correct,No,No,Target_Duration,1,1,-152.08,3.33,154524.64,Bearish,Bearish,Loss,Yes
SIG_0058,Day_57,BUY,Strong,52.99,35.85,66.5,4225.56,39.44,34.77,85.5,13211.1,85.5,0.0,85.5,Correct,Yes,No,Target_Hit,1,1,31205.72,3.33,167735.74,Bullish,Bullish,Profitable,Yes
SIG_0059,Day_58,SELL,Strong,32.39,66.5,35.12,2856.93,73.15,64.5,-47.19,0.0,0.0,-47.19,47.19,Correct,No,Yes,Stop_Loss,1,1,-17223.61,3.33,167735.74,Bearish,Bearish,Loss,Yes
SIG_0060,Day_59,BUY,Strong,51.44,35.12,65.87,4326.63,38.63,34.07,87.56,14686.43,87.56,0.0,87.56,Correct,Yes,No,Target_Hit,1,1,31958.29,3.33,182422.17,Bullish,Bullish,Profitable,Yes
SIG_0061,Day_60,SELL,Strong,32.44,65.87,34.91,2923.23,72.46,63.89,-47.0,0.0,0.0,-47.0,47.0,Correct,No,Yes,Stop_Loss,1,1,-17155.61,3.33,182422.17,Bearish,Bearish,Loss,Yes
SIG_0062,Day_61,BUY,Medium,1.81,34.91,65.5,2976.05,38.4,33.86,87.63,15984.8,87.63,0.0,87.63,Correct,Yes,No,Target_Hit,1,1,31983.24,3.33,198406.97,Bullish,Bullish,Profitable,No
SIG_0063,Day_62,BUY,Strong,44.52,65.5,65.51,4300.92,72.05,63.54,0.02,3.03,0.02,0.0,0.02,Correct,No,No,Target_Duration,1,1,5.57,3.33,198410.0,Bullish,Bullish,Profitable,Yes
SIG_0064,Day_63,SELL,Strong,28.76,65.51,34.6,3064.0,72.06,63.54,-47.18,0.0,0.0,-47.18,47.18,Correct,No,Yes,Stop_Loss,1,1,-17222.03,3.33,198410.0,Bearish,Bearish,Loss,Yes
SIG_0065,Day_64,BUY,Strong,48.3,34.6,64.76,4544.04,38.06,33.56,87.17,17294.93,87.17,0.0,87.17,Correct,Yes,No,Target_Hit,1,1,31816.18,3.33,215704.93,Bullish,Bullish,Profitable,Yes
SIG_0066,Day_65,SELL,Strong,2.53,64.76,33.81,4429.05,71.24,62.82,-47.79,0.0,0.0,-47.79,47.79,Correct,No,Yes,Stop_Loss,1,1,-17444.02,3.33,215704.93,Bearish,Bearish,Loss,Yes
SIG_0067,Day_66,SELL,Strong,31.81,33.81,65.47,3020.37,37.19,32.8,93.64,0.0,93.64,0.0,93.64,Incorrect,Yes,No,Target_Hit,1,1,34178.94,3.33,215704.93,Bearish,Bullish,Profitable,Yes
SIG_0068,Day_67,SELL,Strong,5.23,65.47,34.84,2862.42,72.02,63.51,-46.78,0.0,0.0,-46.78,46.78,Correct,No,Yes,Stop_Loss,1,1,-17076.45,3.33,215704.93,Bearish,Bearish,Loss,Yes
SIG_0069,Day_68,BUY,Strong,44.71,34.84,34.09,4142.07,38.32,33.79,-2.15,-464.35,0.0,-2.15,2.15,Incorrect,No,No,Target_Duration,1,1,-785.73,3.33,215240.58,Bullish,Bearish,Loss,Yes
SIG_0070,Day_69,SELL,Strong,30.36,34.09,63.98,2884.71,37.5,33.07,87.68,0.0,87.68,0.0,87.68,Incorrect,Yes,No,Target_Hit,1,1,32003.08,3.33,215240.58,Bearish,Bullish,Profitable,Yes
SIG_0071,Day_70,BUY,Strong,51.49,63.98,63.49,4370.18,70.38,62.06,-0.77,-164.85,0.0,-0.77,0.77,Incorrect,No,No,Target_Duration,1,1,-279.54,3.33,215075.74,Bullish,Bearish,Loss,Yes
SIG_0072,Day_71,SELL,Strong,31.47,63.49,33.06,2994.93,69.84,61.59,-47.93,0.0,0.0,-47.93,47.93,Correct,No,Yes,Stop_Loss,1,1,-17494.01,3.33,215075.74,Bearish,Bearish,Loss,Yes
SIG_0073,Day_72,BUY,Strong,46.81,33.06,60.32,4396.72,36.37,32.07,82.46,17734.32,82.46,0.0,82.46,Correct,Yes,No,Target_Hit,1,1,30096.49,3.33,232810.05,Bullish,Bullish,Profitable,Yes
SIG_0074,Day_73,SELL,Strong,38.14,60.32,31.44,2720.02,66.35,58.51,-47.88,0.0,0.0,-47.88,47.88,Correct,No,Yes,Stop_Loss,1,1,-17475.46,3.33,232810.05,Bearish,Bearish,Loss,Yes
SIG_0075,Day_74,BUY,Strong,55.75,31.44,32.65,4236.52,34.58,30.5,3.85,895.99,3.85,0.0,3.85,Correct,No,No,Target_Duration,1,1,1404.74,3.33,233706.05,Bullish,Bullish,Profitable,Yes
SIG_0076,Day_75,SELL,Strong,3.99,32.65,63.59,4067.28,35.92,31.67,94.76,0.0,94.76,0.0,94.76,Incorrect,Yes,No,Target_Hit,1,1,34588.36,3.33,233706.05,Bearish,Bullish,Profitable,Yes
SIG_0077,Day_76,SELL,Strong,31.33,63.59,33.47,2793.01,69.95,61.68,-47.37,0.0,0.0,-47.37,47.37,Correct,No,Yes,Stop_Loss,1,1,-17288.57,3.33,233706.05,Bearish,Bearish,Loss,Yes
SIG_0078,Day_77,BUY,Strong,45.78,33.47,63.01,4071.58,36.82,32.47,88.26,20626.46,88.26,0.0,88.26,Correct,Yes,No,Target_Hit,1,1,32214.22,3.33,254332.51,Bullish,Bullish,Profitable,Yes
SIG_0079,Day_78,SELL,Strong,32.81,63.01,63.09,2735.68,69.31,61.12,0.13,0.0,0.13,0.0,0.13,Incorrect,No,No,Target_Duration,1,1,46.34,3.33,254332.51,Bearish,Bullish,Profitable,Yes
SIG_0080,Day_79,BUY,Strong,57.81,63.09,34.38,4317.12,69.4,61.2,-45.51,-11573.76,0.0,-45.51,45.51,Incorrect,No,Yes,Stop_Loss,1,1,-16609.84,3.33,242758.75,Bullish,Bearish,Loss,Yes
SIG_0081,Day_80,SELL,Strong,33.22,34.38,33.92,2883.03,37.82,33.35,-1.34,0.0,0.0,-1.34,1.34,Correct,No,No,Target_Duration,1,1,-488.37,3.33,242758.75,Bearish,Bearish,Loss,Yes
SIG_0082,Day_81,BUY,Strong,57.17,33.92,63.52,4531.39,37.31,32.9,87.26,21184.14,87.26,0.0,87.26,Correct,Yes,No,Target_Hit,1,1,31851.42,3.33,263942.88,Bullish,Bullish,Profitable,Yes
SIG_0083,Day_82,SELL,Strong,33.27,63.52,34.47,3023.65,69.87,61.61,-45.73,0.0,0.0,-45.73,45.73,Correct,No,Yes,Stop_Loss,1,1,-16692.77,3.33,263942.88,Bearish,Bearish,Loss,Yes
SIG_0084,Day_83,BUY,Strong,6.0,34.47,63.59,3205.02,37.92,33.44,84.48,22297.7,84.48,0.0,84.48,Correct,Yes,No,Target_Hit,1,1,30834.93,3.33,286240.58,Bullish,Bullish,Profitable,Yes
SIG_0085,Day_84,BUY,Strong,40.74,63.59,62.29,4510.8,69.95,61.68,-2.04,-585.17,0.0,-2.04,2.04,Incorrect,No,No,Target_Duration,1,1,-746.19,3.33,285655.41,Bullish,Bearish,Loss,Yes
SIG_0086,Day_85,SELL,Strong,27.49,62.29,33.84,3270.71,68.52,60.42,-45.67,0.0,0.0,-45.67,45.67,Correct,No,Yes,Stop_Loss,1,1,-16670.81,3.33,285655.41,Bearish,Bearish,Loss,Yes
SIG_0087,Day_86,BUY,Strong,47.53,33.84,33.59,4825.41,37.22,32.82,-0.74,-211.03,0.0,-0.74,0.74,Incorrect,No,No,Target_Duration,1,1,-269.65,3.33,285444.37,Bullish,Bearish,Loss,Yes
SIG_0088,Day_87,SELL,Strong,4.11,33.59,61.99,4627.22,36.95,32.58,84.55,0.0,84.55,0.0,84.55,Incorrect,Yes,No,Target_Hit,1,1,30860.38,3.33,285444.37,Bearish,Bullish,Profitable,Yes
SIG_0089,Day_88,SELL,Strong,30.75,61.99,61.68,3204.13,68.19,60.13,-0.5,0.0,0.0,-0.5,0.5,Correct,No,No,Target_Duration,1,1,-182.53,3.33,285444.37,Bearish,Bearish,Loss,Yes
SIG_0090,Day_89,BUY,Strong,36.9,61.68,32.4,4386.56,67.85,59.83,-47.47,-13550.28,0.0,-47.47,47.47,Incorrect,No,Yes,Stop_Loss,1,1,-17326.85,3.33,271894.1,Bullish,Bearish,Loss,Yes
SIG_0091,Day_90,SELL,Strong,32.93,32.4,32.79,2942.27,35.64,31.43,1.2,0.0,1.2,0.0,1.2,Incorrect,No,No,Target_Duration,1,1,439.35,3.33,271894.1,Bearish,Bullish,Profitable,Yes
SIG_0092,Day_91,BUY,Strong,46.29,32.79,62.02,4304.35,36.07,31.81,89.14,24237.46,89.14,0.0,89.14,Correct,Yes,No,Target_Hit,1,1,32537.21,3.33,296131.56,Bullish,Bullish,Profitable,Yes
SIG_0093,Day_92,SELL,Strong,33.25,62.02,59.99,2872.96,68.22,60.16,-3.27,0.0,0.0,-3.27,3.27,Correct,No,Yes,Stop_Loss,1,1,-1194.7,3.33,296131.56,Bearish,Bearish,Loss,Yes
SIG_0094,Day_93,BUY,Strong,52.43,59.99,31.85,4379.28,65.99,58.19,-46.91,-13890.89,0.0,-46.91,46.91,Incorrect,No,Yes,Stop_Loss,1,1,-17121.35,3.33,282240.67,Bullish,Bearish,Loss,Yes
SIG_0095,Day_94,SELL,Strong,32.23,31.85,57.18,2967.79,35.04,30.89,79.53,0.0,79.53,0.0,79.53,Incorrect,Yes,No,Target_Hit,1,1,29028.1,3.33,282240.67,Bearish,Bullish,Profitable,Yes
SIG_0096,Day_95,BUY,Strong,50.96,57.18,28.92,4480.1,62.9,55.46,-49.42,-13949.15,0.0,-49.42,49.42,Incorrect,No,Yes,Stop_Loss,1,1,-18039.35,3.33,268291.53,Bullish,Bearish,Loss,Yes
SIG_0097,Day_96,SELL,Strong,32.42,28.92,57.98,3027.47,31.81,28.05,100.48,0.0,100.48,0.0,100.48,Incorrect,Yes,No,Target_Hit,1,1,36676.69,3.33,268291.53,Bearish,Bullish,Profitable,Yes
SIG_0098,Day_97,BUY,Medium,1.53,57.98,29.06,3073.85,63.78,56.24,-49.88,-13382.19,0.0,-49.88,49.88,Incorrect,No,Yes,Stop_Loss,1,1,-18205.93,3.33,254909.34,Bullish,Bearish,Loss,No
SIG_0099,Day_98,BUY,Strong,42.2,29.06,29.16,4370.89,31.97,28.19,0.34,87.72,0.34,0.0,0.34,Correct,No,No,Target_Duration,1,1,125.6,3.33,254997.06,Bullish,Bullish,Profitable,Yes
SIG_0100,Day_99,SELL,Strong,28.34,29.16,57.78,3132.28,32.08,28.29,98.15,0.0,98.15,0.0,98.15,Incorrect,Yes,No,Target_Hit,1,1,35824.07,3.33,254997.06,Bearish,Bullish,Profitable,Yes
SIG_0101,Day_100,BUY,Strong,49.25,57.78,55.65,4674.84,63.56,56.05,-3.69,-940.02,0.0,-3.69,3.69,Incorrect,No,Yes,Stop_Loss,1,1,-1345.53,3.33,254057.04,Bullish,Bearish,Loss,Yes
SIG_0102,Day_101,SELL,Strong,32.61,55.65,29.43,3150.41,61.22,53.98,-47.12,0.0,0.0,-47.12,47.12,Correct,No,Yes,Stop_Loss,1,1,-17197.3,3.33,254057.04,Bearish,Bearish,Loss,Yes
SIG_0103,Day_102,BUY,Strong,47.25,29.43,29.33,4638.88,32.37,28.55,-0.34,-86.33,0.0,-0.34,0.34,Incorrect,No,No,Target_Duration,1,1,-124.02,3.33,253970.72,Bullish,Bearish,Loss,Yes
SIG_0104,Day_103,SELL,Strong,4.04,29.33,54.5,4451.42,32.26,28.45,85.82,0.0,85.82,0.0,85.82,Incorrect,Yes,No,Target_Hit,1,1,31323.05,3.33,253970.72,Bearish,Bullish,Profitable,Yes
SIG_0105,Day_104,SELL,Strong,30.83,54.5,29.03,3078.86,59.95,52.86,-46.73,0.0,0.0,-46.73,46.73,Correct,No,Yes,Stop_Loss,1,1,-17057.89,3.33,253970.72,Bearish,Bearish,Loss,Yes
SIG_0106,Day_105,BUY,Strong,36.66,29.03,53.44,4207.66,31.93,28.16,84.09,21355.24,84.09,0.0,84.09,Correct,Yes,No,Target_Hit,1,1,30691.18,3.33,275325.95,Bullish,Bullish,Profitable,Yes
SIG_0107,Day_106,SELL,Strong,33.88,53.44,30.91,2782.0,58.78,51.84,-42.16,0.0,0.0,-42.16,42.16,Correct,No,Yes,Stop_Loss,1,1,-15388.19,3.33,275325.95,Bearish,Bearish,Loss,Yes
SIG_0108,Day_107,BUY,Strong,50.61,30.91,60.96,4190.07,34.0,29.98,97.22,26766.56,97.22,0.0,97.22,Correct,Yes,No,Target_Hit,1,1,35484.47,3.33,302092.52,Bullish,Bullish,Profitable,Yes
SIG_0109,Day_108,SELL,Strong,32.77,60.96,64.35,2817.19,67.06,59.13,5.56,0.0,5.56,0.0,5.56,Incorrect,No,No,Target_Duration,1,1,2029.77,3.33,302092.52,Bearish,Bullish,Profitable,Yes
SIG_0110,Day_109,BUY,Strong,6.53,64.35,31.77,3001.14,70.78,62.42,-50.63,-15294.75,0.0,-50.63,50.63,Incorrect,No,Yes,Stop_Loss,1,1,-18479.72,3.33,286797.76,Bullish,Bearish,Loss,Yes
SIG_0111,Day_110,BUY,Strong,45.36,31.77,66.98,4362.33,34.95,30.82,110.83,31785.17,110.83,0.0,110.83,Correct,Yes,No,Target_Hit,1,1,40452.16,3.33,318582.93,Bullish,Bullish,Profitable,Yes
